tconst	averageRating	numVotes
tt0000001	5.6	1
tt0000002	6.1	2
tt0000003	6.5	3
tt0000004	6.2	4
tt0000005	6.2	5
tt0000006	5.3	6
tt0000007	5.5	7
tt0000008	5.4	8
tt0000009	5.9	9
tt0000010	6.9	10
tt0000011	5.2	11
tt0000012	7.4	12
tt0000013	5.7	13
tt0000014	7.1	14
tt0000015	6.1	15
tt0000016	5.9	16
tt0000017	4.6	17
tt0000018	5.3	18
tt0000019	5.3	19
tt0000020	5.3	20
tt0000021	5.0	21
tt0000022	5.0	22
tt0000023	5.0	23
tt0000024	5.0	24
tt0000025	5.0	25
tt0000026	5.0	26
tt0000027	5.0	27
tt0000028	5.0	28
tt0000029	5.0	29
tt0000030	5.0	30
tt0000031	5.0	31
tt0000032	5.0	32
tt0000033	5.0	33
